State	District	Subdistt	Town/Village	Ward	EB	Level	Name	TRU	No_HH	TOT_P	TOT_M	TOT_F	P_06	M_06	F_06	P_SC	M_SC	F_SC	P_ST	M_ST	F_ST	P_LIT	M_LIT	F_LIT	P_ILL	M_ILL	F_ILL	TOT_WORK_P	TOT_WORK_M	TOT_WORK_F	MAINWORK_P	MAINWORK_M	MAINWORK_F	MAIN_CL_P	MAIN_CL_M	MAIN_CL_F	MAIN_AL_P	MAIN_AL_M	MAIN_AL_F	MAIN_HH_P	MAIN_HH_M	MAIN_HH_F	MAIN_OT_P	MAIN_OT_M	MAIN_OT_F	MARGWORK_P	MARGWORK_M	MARGWORK_F	MARG_CL_P	MARG_CL_M	MARG_CL_F	MARG_AL_P	MARG_AL_M	MARG_AL_F	MARG_HH_P	MARG_HH_M	MARG_HH_F	MARG_OT_P	MARG_OT_M	MARG_OT_F	MARGWORK_3_6_P	MARGWORK_3_6_M	MARGWORK_3_6_F	MARG_CL_3_6_P	MARG_CL_3_6_M	MARG_CL_3_6_F	MARG_AL_3_6_P	MARG_AL_3_6_M	MARG_AL_3_6_F	MARG_HH_3_6_P	MARG_HH_3_6_M	MARG_HH_3_6_F	MARG_OT_3_6_P	MARG_OT_3_6_M	MARG_OT_3_6_F	MARGWORK_0_3_P	MARGWORK_0_3_M	MARGWORK_0_3_F	MARG_CL_0_3_P	MARG_CL_0_3_M	MARG_CL_0_3_F	MARG_AL_0_3_P	MARG_AL_0_3_M	MARG_AL_0_3_F	MARG_HH_0_3_P	MARG_HH_0_3_M	MARG_HH_0_3_F	MARG_OT_0_3_P	MARG_OT_0_3_M	MARG_OT_0_3_F	NON_WORK_P	NON_WORK_M	NON_WORK_F
21	386	3050	407927	0	0	VILLAGE	Madhusudanpur	Rural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	386	3050	407928	0	0	VILLAGE	Achutapur	Rural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	386	3050	407929	0	0	VILLAGE	Chandradhadi	Rural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	386	3050	407930	0	0	VILLAGE	Sarapari	Rural	250	1227	611	616	135	68	67	294	138	156	0	0	0	1002	515	487	225	96	129	316	298	18	303	286	17	129	127	2	33	32	1	21	18	3	120	109	11	13	12	1	1	1	0	8	8	0	0	0	0	4	3	1	13	12	1	1	1	0	8	8	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	313	598
21	386	3050	407931	0	0	VILLAGE	Haribhaktapur	Rural	259	1314	680	634	168	93	75	17	11	6	0	0	0	1063	563	500	251	117	134	387	378	9	383	374	9	114	113	1	138	136	2	12	12	0	119	113	6	4	4	0	1	1	0	3	3	0	0	0	0	0	0	0	4	4	0	1	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	302	625
21	386	3050	407932	0	0	VILLAGE	Talabadhi	Rural	8	30	15	15	6	2	4	0	0	0	0	0	0	24	13	11	6	2	4	10	9	1	10	9	1	6	6	0	0	0	0	1	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	14
21	386	3050	407933	0	0	VILLAGE	Bhagabanpur	Rural	17	83	45	38	11	9	2	0	0	0	0	0	0	70	35	35	13	10	3	21	20	1	20	19	1	7	7	0	5	5	0	0	0	0	8	7	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	25	37
21	386	3050	407934	0	0	VILLAGE	Bambil	Rural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	386	3050	407935	0	0	VILLAGE	Bagheiput	Rural	108	478	244	234	38	20	18	1	1	0	5	2	3	415	218	197	63	26	37	129	124	5	120	115	5	45	45	0	53	53	0	0	0	0	22	17	5	9	9	0	1	1	0	8	8	0	0	0	0	0	0	0	9	9	0	1	1	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	120	229
21	386	3050	407936	0	0	VILLAGE	Kaya	Rural	156	791	391	400	79	40	39	39	19	20	0	0	0	589	320	269	202	71	131	234	208	26	229	204	25	41	39	2	69	69	0	45	32	13	74	64	10	5	4	1	2	2	0	2	2	0	1	0	1	0	0	0	5	4	1	2	2	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	183	374
